task,run,vcl_100,vcl_100_coreset_50,vcl_100_coreset_100,vcl_100_100,vcl_100_100_coreset_50,vcl_100_100_coreset_100,var_gp,var_gp_block_diag,var_gp_mle_hypers,var_gp_global
0,1,0.9266,0.9245,0.9215,0.9655,0.9678,0.9666,0.973,0.9713,0.1001,0.9741
1,1,0.9196,0.91835,0.9186,0.93025,0.96385,0.958,0.974,0.9689,0.0999,0.9707
2,1,0.9042666667,0.9052666667,0.9081333333,0.9203666667,0.9529333333,0.9578,0.9734,0.9693,0.4105,0.6881
3,1,0.884925,0.890825,0.894275,0.927875,0.9568,0.9552,0.9725,0.9668,0.1003,0.5429
4,1,0.82462,0.86504,0.86566,0.92662,0.95716,0.9495,0.9717,0.9653,0.0989,0.4623
5,1,0.783,0.8255666667,0.8304,0.9342,0.9549833333,0.9493166667,0.9713,0.9635,0.0997,0.3988
6,1,0.7381571429,0.7954428571,0.8048428571,0.9203428571,0.9528571429,0.9462857143,0.9719,0.96,0.1008,0.3561
7,1,0.6678875,0.7553625,0.77725,0.9105125,0.949975,0.9419375,0.9718,0.9578,0.09951,0.329
8,1,0.5965444444,0.7025222222,0.7343,0.9116888889,0.9489888889,0.9416555556,0.9715,0.9544,0.1008,0.3052
9,1,0.57803,0.66628,0.70284,0.89805,0.94429,0.93897,0.9706,0.9502,0.2961,0.2932
0,2,0.9228,0.9243,0.9241,0.9652,0.9678,0.9693,0.9713,0.9719,0.1008,0.9723
1,2,0.9112,0.9164,0.91405,0.96215,0.96395,0.9637,0.9719,0.9695,0.09695,0.9699
2,2,0.8960333333,0.9043333333,0.9018666667,0.9598,0.9599,0.9607333333,0.9712,0.9694,0.1011,0.6971
3,2,0.870925,0.889575,0.8844,0.957175,0.956175,0.95565,0.9715,0.9668,0.1013,0.5502
4,2,0.83176,0.85824,0.86534,0.94764,0.95318,0.95222,0.9709,0.9639,0.1023,0.4706
5,2,0.7731166667,0.8239,0.8314333333,0.9422833333,0.943,0.95015,0.971,0.9622,0.1011,0.4028
6,2,0.6805714286,0.7764714286,0.8025,0.9303571429,0.9508,0.9494,0.971,0.9602,0.0991,0.3544
7,2,0.661425,0.74765,0.7785875,0.9212875,0.9463875,0.9451,0.9704,0.9573,0.09907,0.329
8,2,0.6316777778,0.73,0.7627888889,0.9190444444,0.9453777778,0.9421333333,0.971,0.9538,0.1024,0.3062
9,2,0.5883,0.70329,0.73767,0.91775,0.93907,0.93559,0.9686,0.9484,0.1975,0.2842
