task,run,vcl_100,vcl_100_coreset_50,vcl_100_coreset_100,vcl_100_100,vcl_100_100_coreset_50,vcl_100_100_coreset_100,var_gp,var_gp_block_diag,var_gp_mle_hypers
0,1,0.9995271868,0.9995271868,1,0.9995271868,0.9995271868,0.9995271868,0.9967,0.9957,0.9981
1,1,0.4872673849,0.9663366004,0.968709118,0.4975514202,0.966454688,0.977177731,0.9863,0.9856,0.1008
2,1,0.3317324795,0.8351520181,0.8785632771,0.3327997154,0.9127352433,0.918652502,0.977,0.9353,0.1023
3,1,0.2494964753,0.8236790569,0.8755412547,0.2501484511,0.8733276749,0.8915374445,0.9603,0.9195,0.09954
4,1,0.1970799385,0.7298173099,0.8207187544,0.1985850839,0.7179010761,0.7148349584,0.9216,0.8088,0.0962
0,2,0.9995271868,0.9995271868,0.9990543735,1,1,0.9995271868,0.9976,0.9972,0.9986
1,2,0.4899608227,0.9688694623,0.9713095908,0.4980411361,0.9416902263,0.9684220032,0.986,0.9832,0.09863
2,2,0.330487371,0.8280192474,0.9000917466,0.3326218428,0.9037132232,0.9212473583,0.9748,0.9619,0.1041
3,2,0.2497482377,0.8284819783,0.8768623721,0.2497482377,0.8561331878,0.9105400874,0.9582,0.921,0.09542
4,2,0.1984911788,0.770092102,0.8363315077,0.199104017,0.5849709157,0.8071008699,0.9115,0.7892,0.1039
0,3,0.9990543735,0.9985815603,0.9985815603,0.9995271868,0.9995271868,0.9990543735,0.9953,0.9972,0.9991
1,3,0.486777669,0.9443756758,0.9561795672,0.4980411361,0.9622331743,0.9757592913,0.9846,0.987,0.09694
2,3,0.331020989,0.8588364311,0.8887656018,0.332977588,0.9095725356,0.9180706385,0.972,0.968,0.1003
3,3,0.249244713,0.82287209,0.8677515079,0.2506895924,0.8718064967,0.908874955,0.9561,0.9123,0.09505
4,3,0.2009428379,0.759756719,0.7918645752,0.199104017,0.7727735729,0.7692801356,0.8986,0.7813,0.097
0,4,1,0.9995271868,0.9995271868,1,1,0.9995271868,0.9967,0.9972,0.9991
1,4,0.4872673849,0.9724411473,0.9643016743,0.4973065622,0.9722385461,0.9825138984,0.9836,0.9858,0.09694
2,4,0.3306652437,0.8571409909,0.8763389068,0.3331554607,0.9023883721,0.9295802348,0.9695,0.9617,0.09517
3,4,0.2491263551,0.8559825731,0.8792773059,0.2497482377,0.8799237294,0.9133484384,0.9208,0.9306,0.09605
4,4,0.19910097,0.7844307616,0.8232951432,0.1988964361,0.7694191067,0.79492061,0.899,0.7818,0.1047
0,5,0.9990543735,0.9995271868,0.9990543735,0.9995271868,0.9995271868,0.9985815603,0.9972,0.9972,0.9986
1,5,0.4909402547,0.971453264,0.9742563379,0.4970617042,0.9819988284,0.9832653751,0.9856,0.9856,0.1013
2,5,0.3308431163,0.848970011,0.8826892501,0.332977588,0.9228740948,0.9102439889,0.9731,0.9526,0.1001
3,5,0.2504077368,0.8580445157,0.8752753188,0.2498741188,0.893358844,0.7726170071,0.9586,0.9015,0.09642
4,5,0.1995022662,0.7662142763,0.8228782921,0.1997414444,0.7493222941,0.6907323011,0.8976,0.771,0.1027
